Sensor at x=3523437, y=2746095: closest beacon is at x=3546605, y=2721324
Sensor at x=282831, y=991087: closest beacon is at x=743030, y=-87472
Sensor at x=1473740, y=3283213: closest beacon is at x=1846785, y=3045894
Sensor at x=1290563, y=46916: closest beacon is at x=743030, y=-87472
Sensor at x=3999451, y=15688: closest beacon is at x=3283637, y=-753607
Sensor at x=1139483, y=2716286: closest beacon is at x=1846785, y=3045894
Sensor at x=3137614, y=2929987: closest beacon is at x=3392051, y=3245262
Sensor at x=2667083, y=2286333: closest beacon is at x=2126582, y=2282363
Sensor at x=3699264, y=2920959: closest beacon is at x=3546605, y=2721324
Sensor at x=3280991, y=2338486: closest beacon is at x=3546605, y=2721324
Sensor at x=833202, y=92320: closest beacon is at x=743030, y=-87472
Sensor at x=3961416, y=2485266: closest beacon is at x=3546605, y=2721324
Sensor at x=3002132, y=3500345: closest beacon is at x=3392051, y=3245262
Sensor at x=2482128, y=2934657: closest beacon is at x=1846785, y=3045894
Sensor at x=111006, y=2376713: closest beacon is at x=354526, y=3163958
Sensor at x=424237, y=2718408: closest beacon is at x=354526, y=3163958
Sensor at x=3954504, y=3606495: closest beacon is at x=3392051, y=3245262
Sensor at x=2275050, y=2067292: closest beacon is at x=2333853, y=2000000
Sensor at x=1944813, y=2557878: closest beacon is at x=2126582, y=2282363
Sensor at x=2227536, y=2152792: closest beacon is at x=2126582, y=2282363
Sensor at x=3633714, y=1229193: closest beacon is at x=3546605, y=2721324
Sensor at x=1446898, y=1674290: closest beacon is at x=2333853, y=2000000
Sensor at x=3713985, y=2744503: closest beacon is at x=3546605, y=2721324
Sensor at x=2281504, y=3945638: closest beacon is at x=1846785, y=3045894
Sensor at x=822012, y=3898848: closest beacon is at x=354526, y=3163958
Sensor at x=89817, y=3512049: closest beacon is at x=354526, y=3163958
Sensor at x=2594265, y=638715: closest beacon is at x=2333853, y=2000000
