???#?????#?.#???#??? 9,7
.?.?..?????.?# 1,1,3,1
??#??#?#?#?.?????? 9,1,1
????????????? 1,5,1,1
??#??#????##??. 6,3
#?#..#?#??? 3,5
???#.??.?#??? 3,1,2,1
?.?#??.??????????? 2,1,3,1
??#?#??#.#..?# 4,2,1,2
.????????..#?? 6,1
.??..?.???? 1,1,1
?.?##?#???#?#????# 1,10,1,1
??????????#.#?????.? 2,7,1,4,1
?.???..??.????#? 2,3
????.#??#???. 3,7
????#?????###?????#? 4,12
#.??#????. 1,5,1
?#???#??#.???#?.. 2,1,1,1,3
#???#????#? 7,1
??#..????#?#? 1,1,1,5
.##??#??#????????? 9,3
????#.#??#??#.. 4,1,2,1
...?.???...#?#??.??? 2,4,1
..####?.?????? 4,2
#.?.?##?#??#??#? 1,4,5
??#??#???##?.?.??#?? 11,5
????#?#?.?.#.?#???? 5,1,1,1,2,3
???.????...???#?#? 2,4,2,4
?..???....???#?? 3,4
????##??###.? 2,3,3,1
?#..????#?##?##?#?? 1,13
##?.?#????.?????..# 3,3,2,1,3,1
.???.??????? 1,1,2,1
##?##?#?.?????#? 2,5,3,2
###?#?.??#?#? 3,2,5
##?#?.?#???#??????#? 2,2,3,2,2,3
#?.#?#?.??????.?..?? 1,1,1,5,1,1
.???....#? 1,1
???.#???#?#.??. 1,3,3
#???####????..# 1,8,1,1
.?????????#? 1,2,3
#?#???##?.???? 9,2
.???...??. 2,2
??#?#????# 5,1
#??????#?###.#??? 12,1
???#..??.??#??? 1,1,1,4
????.?.?.?.??? 1,1,2
????#?#?#?#?????? 7,4,3
??#..?.#??##?..????. 1,1,1,6,2
.#?#??#?.?#????#??. 6,8
#????????##??.?? 2,1,2,4,2
?###???.??????#??.?? 6,3,4,1
?#?#????#??.? 1,1,4
###?????.?...??? 3,1,1,1,2
.??#????#.. 3,3
.?..##??#?..???? 1,3,2,2
?.?.?.?.?#?.?.. 1,1,1,3,1
?????#??#??.????.. 4,4,3
??.???..??..?.? 1,2
??#?.??#.#????#? 1,1,1,1,4
???#.???#?#??#?? 1,1,1,5,2
?###??????#??#??.# 4,1,8,1
?#.????.???? 1,1,1,1
?.?????.#.?? 2,1,1,1
?.?#?###?..#?#???.?? 6,5
???????#??? 1,3
?.??#?.?#.????#??? 1,1,1,6,1
.???.?.?.#? 1,1,1
.#????..??? 3,1,2
?###?#???????.#?#? 8,4,1,1
?????????..???#. 2,2,2,1,2
?#.????#??###???? 1,5,3,1
.?.?????#.????#?# 1,5,1,4
?#?#?#????????##???# 3,2,3,6
??????????#?.???.? 1,1,2,4,3,1
.?????????#??? 3,7,1
??###??##?? 3,4
#.?????##? 1,1,5
